Name, Part, Value, Price, Qnt, Link1, Link2
Power Button, SPST, 220V, $1.5, 1, "https://aliexpress.ru/item/4000254589293.html?spm=a2g0o.productlist.0.0.839c3472IRGQDR&algo_pvid=9d405efd-973f-4c6e-9643-87fb56cbb8bd&algo_expid=9d405efd-973f-4c6e-9643-87fb56cbb8bd-1&btsid=0ab6f82215847889723603185e3b46&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",
AC-DC Power Supply, Power Supply, 240W 16x10x3cm max, $23,15, "https://aliexpress.ru/item/33027190392.html?spm=a2g0o.productlist.0.0.4d897d03qpiFTY&algo_pvid=d428d4c1-6d9f-4ebc-9ceb-83509eea4780&algo_expid=d428d4c1-6d9f-4ebc-9ceb-83509eea4780-3&btsid=0be3769015847876034613369e6781&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_", "https://aliexpress.ru/item/33042250790.html?spm=a2g0o.detail.1000013.1.3480538bHYyG7c&gps-id=pcDetailBottomMoreThisSeller&scm=1007.14977.161855.0&scm_id=1007.14977.161855.0&scm-url=1007.14977.161855.0&pvid=85d3ec6c-c589-491e-a544-975f3c65f4cc&_t=gps-id:pcDetailBottomMoreThisSeller,scm-url:1007.14977.161855.0,pvid:85d3ec6c-c589-491e-a544-975f3c65f4cc,tpp_buckets:668%230%23131923%2320_668%23808%235965%23610_668%23888%233325%2318"
Cooler Fan, Jiesammy, 24V 40mm, $2, 1, "https://aliexpress.ru/item/33012020984.html?spm=a2g0o.productlist.0.0.5a4e3e53YXdDf3&algo_pvid=c9ddcb5a-4ded-41aa-8d61-cbc664ab052e&algo_expid=c9ddcb5a-4ded-41aa-8d61-cbc664ab052e-9&btsid=0be3743615847902193352011e2eeb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_"
ESP32 Module, ESP32-S, ,$3.5, 1, "https://aliexpress.ru/item/4000080710751.html?spm=a2g0o.productlist.0.0.7c0e2c8e19xHcJ&algo_pvid=af4fb85f-97b8-49e4-a931-71e917da8270&algo_expid=af4fb85f-97b8-49e4-a931-71e917da8270-1&btsid=0ab6f8ad15847912094356317e4b28&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_"
LCD Display, TFT SPI Display ILI9341, 2.8, $5.5, 1, "https://aliexpress.ru/item/4000030399357.html?spm=a2g0o.productlist.0.0.35be686bjMBwpW&algo_pvid=6b17cab0-b01a-4b8f-821c-fb7aa1309daa&algo_expid=6b17cab0-b01a-4b8f-821c-fb7aa1309daa-8&btsid=0ab6f8ad15847915360265551e4b28&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_"
DC-DC Coneverter, DD2712SA, 3.3V, $2, 1, "https://aliexpress.ru/item/4000505908372.html?spm=a2g0o.productlist.0.0.33b73790vJ0kry&algo_pvid=60e96d93-564c-4783-ae47-c3c5a2fd0a38&algo_expid=60e96d93-564c-4783-ae47-c3c5a2fd0a38-0&btsid=0be3743615847900800545494e2eeb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_", "https://aliexpress.ru/item/4000167659729.html?spm=a2g0o.productlist.0.0.33b73790vJ0kry&algo_pvid=60e96d93-564c-4783-ae47-c3c5a2fd0a38&algo_expid=60e96d93-564c-4783-ae47-c3c5a2fd0a38-1&btsid=0be3743615847900800545494e2eeb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_"
Solder, , 75W, $4, 1, "https://aliexpress.ru/item/878838736.html?spm=a2g0o.productlist.0.0.767e4991wN25zu&algo_pvid=04374793-2133-475b-b692-d100999819e6&algo_expid=04374793-2133-475b-b692-d100999819e6-15&btsid=0be3746c15847866146827385ec465&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_" 
Heat Gun, Hot Air Blower Heat Gun, , $10, 1, "https://aliexpress.ru/item/32899909009.html?spm=a2g0o.productlist.0.0.19d52408bYyqF6&algo_pvid=3cfe59e2-ef88-4cf6-89d8-d1b9ecbb7459&algo_expid=3cfe59e2-ef88-4cf6-89d8-d1b9ecbb7459-2&btsid=0ab6fb8315847869881828726e0cce&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_", "https://www.aliexpress.com/item/4000773015392.html?spm=a2g0o.productlist.0.0.19d52408bYyqF6&s=p&ad_pvid=202003210336287949073081354800002925135_2&algo_pvid=3cfe59e2-ef88-4cf6-89d8-d1b9ecbb7459&algo_expid=3cfe59e2-ef88-4cf6-89d8-d1b9ecbb7459-7&btsid=0ab6fb8315847869881828726e0cce&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_"
,MX-16 connector, 5 pin and 8 pin sockets, $, 2, "https://aliexpress.ru/item/32869006601.html?spm=a2g0o.productlist.0.0.15f11d7cReTb89&algo_pvid=016f0597-8efd-462d-8f7b-c2bd4d418f27&algo_expid=016f0597-8efd-462d-8f7b-c2bd4d418f27-1&btsid=0ab6d69f15854680425727520e7323&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_"
Encoders (ITSI; IM; IHG), EC11, ,$0.40, 3, "https://aliexpress.ru/item/32322425597.html?spm=a2g0o.productlist.0.0.412f5143ZjRrYc&algo_pvid=b954a2f7-6b5a-4ca3-9830-e145f84cc12c&algo_expid=b954a2f7-6b5a-4ca3-9830-e145f84cc12c-12&btsid=0ab6d69515854697377601536e5603&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_"
Amplifier, LM358DT, , $0.03, 1, "https://aliexpress.ru/item/33008076565.html?spm=a2g0o.productlist.0.0.5a1b573aYhC37b&algo_pvid=5ab30166-7db4-402a-8441-4de50486d229&algo_expid=5ab30166-7db4-402a-8441-4de50486d229-1&btsid=0ab6f81615859912805728132e29a1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",
STM32 MCU, STM32F030K6, , $0.4, 1, "https://aliexpress.ru/item/32723296814.html?spm=a2g0o.productlist.0.0.75b33b34J7W1BZ&algo_pvid=6ce205eb-7988-4fc7-9882-4a7e2e94ea53&algo_expid=6ce205eb-7988-4fc7-9882-4a7e2e94ea53-0&btsid=0ab6f83115884979709701587e51fb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_"
